Fault No.,Fault Name,Level,Car Type,D1,D2,D3,D4,D5,D6,D7,D8,D9,TD,C1
TMS-201,CS1-1 Transmission Error (Car No.1),2,Tc1,CS1-1 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-202,CS2-1 Transmission Error (Car No.2),2,Mp1,CS2-1 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-203,CS2-1 Transmission Error (Car No.3),2,MW1,CS2-1 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-204,CS2-1 Transmission Error (Car No.4),2,HMp,CS2-1 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-205,CS2-1 Transmission Error (Car No.5),2,HT,CS2-1 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-206,CS2-1 Transmission Error (Car No.6),2,MW2,CS2-1 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-207,CS2-1 Transmission Error (Car No.7),2,Mp2,CS2-1 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-208,CS1-1 Transmission Error (Car No.8),2,Tc2,CS1-1 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-209,CS1-2 Transmission Error (Car No.1),2,Tc1,CS1-2 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-210,CS2-2 Transmission Error (Car No.2),2,Mp1,CS2-2 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-211,CS2-2 Transmission Error (Car No.3),2,MW1,CS2-2 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-212,CS2-2 Transmission Error (Car No.4),2,HMp,CS2-2 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-213,CS2-2 Transmission Error (Car No.5),2,HT,CS2-2 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-214,CS2-2 Transmission Error (Car No.6),2,MW2,CS2-2 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-215,CS2-2 Transmission Error (Car No.7),2,Mp2,CS2-2 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-216,CS1-2 Transmission Error (Car No.8),2,Tc2,CS1-2 Status data is offline,hostler station off in unit,,,,,,,,10s,
TMS-217,Both CS1 Transmission Error (Car No.1),1,Tc1,CS1-1 and CS1-2 Status data are offline,hostler station off in unit,,,,,,,,10s,
TMS-218,Both CS2 Transmission Error (Car No.2),1,Mp1,CS2-1 and CS2-2 Status data are offline,hostler station off in unit,,,,,,,,10s,
TMS-219,Both CS2 Transmission Error (Car No.3),1,MW1,CS2-1 and CS2-2 Status data are offline,hostler station off in unit,,,,,,,,10s,
TMS-220,Both CS2 Transmission Error (Car No.4),1,HMp,CS2-1 and CS2-2 Status data are offline,hostler station off in unit,,,,,,,,10s,
TMS-221,Both CS2 Transmission Error (Car No.5),1,HT,CS2-1 and CS2-2 Status data are offline,hostler station off in unit,,,,,,,,10s,
TMS-222,Both CS2 Transmission Error (Car No.6),1,MW2,CS2-1 and CS2-2 Status data are offline,hostler station off in unit,,,,,,,,10s,
TMS-223,Both CS2 Transmission Error (Car No.7),1,Mp2,CS2-1 and CS2-2 Status data are offline,hostler station off in unit,,,,,,,,10s,
TMS-224,Both CS1 Transmission Error (Car No.8),1,Tc2,CS1-1 and CS1-2 Status data are offline,hostler station off in unit,,,,,,,,10s,
TMS-225,CCU-C Transmission Error (Car No.1),2,Tc1,CCU-C Status data is offline,,,,,,,,,10s,
TMS-226,CCU-C Transmission Error (Car No.8),2,Tc2,CCU-C Status data is offline,,,,,,,,,10s,
TMS-227,Both CCU-C (both end cars) Transmission Error,1,"Tc1, Tc2",Both CCU-C Status data is offline,,,,,,,,,10s,
TMS-228,CCU-M Transmission Error (Car No.1),2,Tc1,CCU-M Status data is offline,,,,,,,,,10s,
TMS-229,CCU-M Transmission Error (Car No.8),2,Tc2,CCU-M Status data is offline,,,,,,,,,10s,
TMS-230,REC Transmission Error (Car No.1),2,Tc1,REC Status data is offline,,,,,,,,,10s,
TMS-231,REC Transmission Error (Car No.8),2,Tc2,REC Status data is offline,,,,,,,,,10s,
TMS-232,Both REC (both end cars) Transmission Error,1,"Tc1, Tc2",Both REC status data is offline,,,,,,,,,10s,
TMS-233,DU1 Transmission Error (Car No.1),2,Tc1,DU1(Car No.1) is offline,,,,,,,,,30s,
TMS-234,DU2 Transmission Error (Car No.1),2,Tc1,DU2(Car No.1) is offline,,,,,,,,,30s,
TMS-235,DU1 Transmission Error (Car No.8),2,Tc2,DU1(Car No.8) is offline,,,,,,,,,30s,
TMS-236,DU2 Transmission Error (Car No.8),2,Tc2,DU2(Car No.8) is offline,,,,,,,,,30s,
TMS-237,Both DU Transmission Error,1,"Tc1, Tc2",DU1 and DU2 are offline,,,,,,,,,30s,
TMS-238,Primary CCU-M backup,2,Tc2,When changing from Secondary to Primary,,,,,,,,,,When changing from Primary to Secondary
TMS-239,Primary CCU-C backup,2,Tc2,When changing from Secondary to Primary,,,,,,,,,,When changing from Primary to Secondary
TMS-240,CCU-C Program Area Error,3,"Tc1, Tc2",TMS 240,,,,,,,,,,
TMS-241,CCU-C RAM Area Error,3,"Tc1, Tc2",TMS 241,,,,,,,,,,
TMS-242,CCU-M Program Area Error,3,"Tc1, Tc2",TMS 242,,,,,,,,,,
TMS-243,CCU-M RAM Area Error,3,"Tc1, Tc2",TMS 243,,,,,,,,,,
TMS-244,CCU-REC Program Area Error,3,"Tc1, Tc2",TMS 244,,,,,,,,,,
TMS-245,CCU-REC RAM Area Error,3,"Tc1, Tc2",TMS 245,,,,,,,,,,
TMS-246,CCU-REC Record Area Error,3,"Tc1, Tc2",TMS 246,,,,,,,,,,
TMS-247,CS1-1 CPU Program Area Error,3,"Tc1, Tc2",TMS 247,,,,,,,,,,
TMS-248,CS1-1 CPU RAM Area Error,3,"Tc1, Tc2",TMS 248,,,,,,,,,,
TMS-249,CS1-1 TRC-1 Program Area Error,3,"Tc1, Tc2",TMS 249,,,,,,,,,,
TMS-250,CS1-1 TRC-1 RAM Area Error,3,"Tc1, Tc2",TMS 250,,,,,,,,,,
TMS-251,CS1-1 TRC-2 Program Area Error,3,"Tc1, Tc2",TMS 251,,,,,,,,,,
TMS-252,CS1-1 TRC-2 RAM Area Error,3,"Tc1, Tc2",TMS 252,,,,,,,,,,
TMS-253,CS1-1 TRC-3 Program Area Error,3,"Tc1, Tc2",TMS 253,,,,,,,,,,
TMS-254,CS1-1 TRC-3 RAM Area Error,3,"Tc1, Tc2",TMS 254,,,,,,,,,,
TMS-255,CS1-2 CPU Program Area Error,3,"Tc1, Tc2",TMS 255,,,,,,,,,,
TMS-256,CS1-2 CPU RAM Area Error,3,"Tc1, Tc2",TMS 256,,,,,,,,,,
TMS-257,CS1-2 TRC-1 Program Area Error,3,"Tc1, Tc2",TMS 257,,,,,,,,,,
TMS-258,CS1-2 TRC-1 RAM Area Error,3,"Tc1, Tc2",TMS 258,,,,,,,,,,
TMS-259,CS1-2 TRC-2 Program Area Error,3,"Tc1, Tc2",TMS 259,,,,,,,,,,
TMS-260,CS1-2 TRC-2 RAM Area Error,3,"Tc1, Tc2",TMS 260,,,,,,,,,,
TMS-261,CS1-2 TRC-3 Program Area Error,3,"Tc1, Tc2",TMS 261,,,,,,,,,,
TMS-262,CS1-2 TRC-3 RAM Area Error,3,"Tc1, Tc2",TMS 262,,,,,,,,,,
TMS-263,CS2-1 CPU Program Area Error,3,"Tc1, Tc2",TMS 263,,,,,,,,,,
TMS-264,CS2-1 CPU RAM Area Error,3,"Mp1, MW1, HMp, HT, MW2, Mp2",TMS 264,,,,,,,,,,
TMS-265,CS2-1 TRC-1 Program Area Error,3,"Mp1, MW1, HMp, HT, MW2, Mp2",TMS 265,,,,,,,,,,
TMS-266,CS2-1 TRC-1 RAM Area Error,3,"Mp1, MW1, HMp, HT, MW2, Mp2",TMS 266,,,,,,,,,,
TMS-267,CS2-2 CPU Program Area Error,3,"Mp1, MW1, HMp, HT, MW2, Mp2",TMS 267,,,,,,,,,,
TMS-268,CS2-2 CPU RAM Area Error,3,"Mp1, MW1, HMp, HT, MW2, Mp2",TMS 268,,,,,,,,,,
TMS-269,CS2-2 TRC-1 Program Area Error,3,"Mp1, MW1, HMp, HT, MW2, Mp2",TMS 269,,,,,,,,,,
TMS-270,CS2-2 TRC-1 RAM Area Error,3,"Mp1, MW1, HMp, HT, MW2, Mp2",TMS 270,,,,,,,,,,
TMS-271,DU1 Memory Error (Tc1),3,Tc1,TMS 271,,,,,,,,,,
TMS-272,DU2 Memory Error (Tc1),3,Tc1,TMS 272,,,,,,,,,,
TMS-273,DU1 Memory Error (Tc2),3,Tc2,TMS 273,,,,,,,,,,
TMS-274,DU2 Memory Error (Tc2),3,Tc2,TMS 274,,,,,,,,,,
TMS-311,Fault Record Clear,3,"Tc1, Tc2",CAB 131,,,,,,,,,,
TMS-312,Energy Consumption set,3,"Tc1, Tc2",CAB 132,,,,,,,,,,
TMS-313,Running Distance set,3,"Tc1, Tc2",CAB 133,,,,,,,,,,
TMS-314,Wheel Size set,3,"Tc1, Tc2",CAB 134,,,,,,,,,,
TMS-315,Pass Load change,3,"Tc1, Tc2",CAB 135,,,,,,,,,,
TMS-316,Distance error,3,"Tc1, Tc2",CAB 151,,,,,,,,,,
TMS-318,Manual DO detect,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",ETC 500,,,,,,,,,,
TMS-400,RIO1 Transmission Error,2,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 400,,,,,,,,,,
TMS-401,RIO1 FCS Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 401,,,,,,,,,,
TMS-402,RIO1 Sequence Counter Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 402,,,,,,,,,,
TMS-403,RIO1 TMS Transmission Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 403,,,,,,,,,,
TMS-404,RIO1 TMS FCS Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 404,,,,,,,,,,
TMS-405,RIO1 TMS Sequence Counter Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 405,,,,,,,,,,
TMS-406,RIO2 Transmission Error,2,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 406,,,,,,,,,,
TMS-407,RIO2 FCS Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 407,,,,,,,,,,
TMS-408,RIO2 Sequence Counter Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 408,,,,,,,,,,
TMS-409,RIO2 TMS Transmission Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 409,,,,,,,,,,
TMS-410,RIO2 TMS FCS Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 410,,,,,,,,,,
TMS-411,RIO2 TMS Sequence Counter Error,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 411,,,,,,,,,,
TMS-414,Abnormal RIO1 card alignment (SLOT3),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 414,=,#0,U,TMS 414 ,=,#2,,,,
TMS-415,Abnormal RIO1 card alignment (SLOT4),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 415,=,#0,U,TMS 415,=,#2,,,,
TMS-416,Abnormal RIO1 card alignment (SLOT5),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 416,=,#0,U,TMS 416,=,#2,,,,
TMS-417,Abnormal RIO1 card alignment (SLOT6),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 417,=,#0,U,TMS 417,=,#2,,,,
TMS-418,Abnormal RIO1 card alignment (SLOT7),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 418,=,#0,U,TMS 418,=,#2,,,,
TMS-419,Abnormal RIO1 card alignment (SLOT8),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 419,=,#0,U,TMS 419,=,#2,,,,
TMS-420,Abnormal RIO1 card alignment (SLOT9),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 420,=,#0,U,TMS 420,=,#2,,,,
TMS-421,Abnormal RIO1 card alignment (SLOT10),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 421,=,#0,U,TMS 421,=,#2,,,,
TMS-422,Abnormal RIO1 card alignment (SLOT11),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 422,=,#0,U,TMS 422,=,#2,,,,
TMS-423,Abnormal RIO1 card alignment (SLOT12),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 423,=,#0,U,TMS 423,=,#2,,,,
TMS-424,Abnormal RIO1 card alignment (SLOT13),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 424,=,#0,U,TMS 424,=,#2,,,,
TMS-425,Abnormal RIO1 card alignment (SLOT14),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 425,=,#0,U,TMS 425,=,#2,,,,
TMS-426,Abnormal RIO1 card alignment (SLOT15),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 426,=,#0,U,TMS 426,=,#2,,,,
TMS-427,Abnormal RIO1 card alignment (SLOT16),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 427,=,#0,U,TMS 427,=,#2,,,,
TMS-428,Abnormal RIO1 card alignment (SLOT17),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 428,=,#0,U,TMS 428,=,#2,,,,
TMS-429,Abnormal RIO2 card alignment (SLOT3),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 429,=,#0,U,TMS 429,=,#2,,,,
TMS-430,Abnormal RIO2 card alignment (SLOT4),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 430,=,#0,U,TMS 430,=,#2,,,,
TMS-431,Abnormal RIO2 card alignment (SLOT5),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 431,=,#0,U,TMS 431,=,#2,,,,
TMS-432,Abnormal RIO2 card alignment (SLOT6),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 432,=,#0,U,TMS 432,=,#2,,,,
TMS-433,Abnormal RIO2 card alignment (SLOT7),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 433,=,#0,U,TMS 433,=,#2,,,,
TMS-434,Abnormal RIO2 card alignment (SLOT8),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 434,=,#0,U,TMS 434,=,#2,,,,
TMS-435,Abnormal RIO2 card alignment (SLOT9),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 435,=,#0,U,TMS 435,=,#2,,,,
TMS-436,Abnormal RIO2 card alignment (SLOT10),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 436,=,#0,U,TMS 436,=,#2,,,,
